Title,Author(s),Year,Simple Pos,Simple NS,Simple Neg,Intermediate Pos,Intermediate NS,Intermediate Neg,Complex Pos,Complex NS,Complex Neg
Benefits of increased cover crop diversity for predators and biological pest control depend on the landscape context,Beaumelle et al. ,2021,0,0,0,1,0,0,1,0,1
Benefits of increased cover crop diversity for predators and biological pest control depend on the landscape context,Beaumelle et al. ,2021,0,0,0,0,0,1,1,0,1
Organic Farming: Biodiversity Impacts Can Depend on Dispersal Characteristics and Landscape Context,Feber et al. ,2015,0,0,0,1,0,0,1,0,0
Organic Farming: Biodiversity Impacts Can Depend on Dispersal Characteristics and Landscape Context,Feber et al. ,2015,0,0,0,0,0,0,1,0,0
Does soil biota benefit from organic farming in complex vs. simple landscapes?,Flohre et al. ,2011,0,0,0,1,0,0,0,1,1
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,0,0,0,0,0,1,1,0,0
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,0,0,0,0,0,0,1,0,0
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,1,1,0,0,0,0,0,0,0
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,0,1,0,0,0,0,0,0,0
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,1,1,0,0,0,0,0,0,0
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,0,1,0,0,0,0,0,0,0
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,1,1,0,0,0,0,0,0,0
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,0,1,0,0,0,0,0,0,0
"Size, age and surrounding semi-natural habitats modulate the effectiveness of flower-rich agri-environment schemes to promote pollinator visitation in crop fields",Krimmer et al.,2019,0,1,0,1,0,0,0,0,0
"Size, age and surrounding semi-natural habitats modulate the effectiveness of flower-rich agri-environment schemes to promote pollinator visitation in crop fields",Krimmer et al.,2019,0,1,0,0,0,0,0,0,0
Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Mallet et al. ,2022,1,1,1,0,0,0,0,0,0
Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Mallet et al. ,2022,1,1,1,0,0,0,0,0,0
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,0,1,0,1,0,0,0,1,0
Low-intensity management benefits solitary bees in olive groves,Martínez-Núñez et al.,2019,0,1,0,1,0,0,0,1,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,1,0,1,0,0,0,0,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,0,0,0,0,1,0,0,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,0,0,0,0,0,0,0,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,0,1,0,0,1,0,0,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,0,0,0,0,1,0,0,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,0,0,0,0,0,0,0,0
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,1,0,1,0,0,1,0,0,0
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,0,0,0,0,1,0,1,0,0
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,0,0,0,0,0,0,1,0,0
Mixed effects of organic farming and landscape complexity on farmland biodiversity and biological control potential across Europe,Winqvist et al. ,2011,0,0,1,0,0,0,1,1,0
