Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
POV_DUN,471,4,41,22,3,0,2,0,16,0,1,8,0,0,1019,2979,0,0,0,0,0,0,0,0,0,0,0,0,59,0,18,0,0,2,5,1,10,155,3816,1162,276,72,248,19956,709,11288,85,13152,1378,245,6,0,0,0,0,0,0,0,0,0,6,1,0,57216,4656,33909,13152,5574,0,0.081375839,0.592648909,0.229865772,0.097420302,0,0.008231963,0.000716583,3000
DIP_FLE,12381,3,1117,3,83,0,3,1,508,0,78,28,0,0,8951,4078,0,0,59,0,0,0,0,0,0,0,0,0,88,0,35,0,0,1,18,2,0,13,1429,1756,282,21,22,16476,435,1938,93,6455,1195,43,11,0,0,0,0,0,0,0,0,0,0,0,0,57606,27413,20202,6455,3510,0,0.475870569,0.350692636,0.1120543,0.060931153,0,0.214925529,0.019390341,3000
DIP_CUR,6830,8,511,0,4,0,2,0,16,0,3,13,0,0,1818,3750,0,0,3,0,0,0,0,0,0,0,0,0,12,0,43,0,0,0,1,2,4,24,2172,734,216,124,16,20207,1082,8496,74,9929,856,106,236,0,0,0,0,0,0,0,0,0,10,0,0,57302,13223,30837,9929,3262,0,0.230759834,0.538148756,0.173274929,0.05692646,0,0.119193047,0.008917664,3000
GAB_STE,6508,53,351,0,177,0,5,0,15,0,303,52,0,0,4766,2924,0,0,4,0,0,0,4,0,0,0,0,0,9,112,36,0,0,9,2,0,0,723,2234,2366,1926,861,705,15414,2603,3507,125,10521,1943,191,0,0,0,0,0,0,0,0,0,45,6,0,0,58500,15345,24488,10521,8092,0,0.262307692,0.418598291,0.179846154,0.138324786,0,0.111247863,0.006,3000
SMI_CRO,6398,1,2020,0,0,0,11,0,40,0,185,379,0,0,2356,18133,0,0,7,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,3,0,0,49,1972,987,212,17,7,8635,470,2112,16,12884,1132,16,0,0,0,0,0,0,0,0,0,4,1,0,0,58067,29543,12388,12884,3195,0,0.508774347,0.213339763,0.22188162,0.055022646,0,0.110183064,0.034787401,3000
SMI_CAN,6007,0,159,0,0,0,0,0,34,0,4,51,0,0,6606,8666,0,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,289,2024,815,275,42,36,14143,873,1440,24,11617,4795,187,4,0,0,0,0,4,0,0,0,0,0,0,0,58119,21539,21498,11617,3192,0,0.370601697,0.369896247,0.199882999,0.054921798,0,0.103356906,0.002735766,3000
SMI_KEL,11689,0,5006,0,0,0,0,0,7,0,1,38,0,0,2231,9345,0,0,5,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,1741,1659,1527,784,62,10,9770,1302,1964,27,8906,2120,65,0,0,0,0,0,0,0,0,0,0,0,0,0,58282,28323,15258,8906,4042,0,0.485964792,0.261796095,0.152808757,0.069352459,0,0.200559349,0.085892728,3000
SMI_COB,2622,11,107,0,0,0,1,0,2,0,0,19,0,0,6144,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,149,3516,3193,2807,786,15,15952,1404,7655,49,10427,1091,60,2,0,0,0,0,6,0,0,0,2,3,0,0,57723,10607,26226,10427,10317,0,0.183756908,0.45434229,0.180638567,0.178732914,0,0.045423835,0.001853681,3000
SMI_DOU,4779,0,950,0,0,0,0,0,2,0,3,32,0,0,2456,9785,0,0,4,0,0,0,0,0,0,0,0,0,5,0,13,0,0,27,0,0,0,917,4694,2935,3002,760,11,16878,722,953,22,8675,784,49,0,0,0,0,0,0,0,0,0,1,0,0,0,58459,18044,19419,8675,11402,0,0.308660771,0.332181529,0.148394601,0.195042679,0,0.081749602,0.016250706,3000
SMI_MCC,7282,0,1438,0,0,0,31,0,6,0,0,251,0,0,2327,10698,2,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,40,2137,777,193,32,44,17244,1016,1093,29,12493,1363,21,0,0,0,0,0,0,0,0,0,2,0,0,0,58572,22042,20810,12493,3183,0,0.376323158,0.355289217,0.213293041,0.054343372,0,0.124325616,0.02455098,3000
