,Field ID,Latitude,Longitude,Corn,Sorghum,Soybeans,Sweet Corn,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Dbl Crop Triticale/Corn,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,DEG_DIE_HILL,42.60486,-76.15013,297,0,6,0,0,35,13,9,117,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,18,9,4,0,34,0,1,0,139,1,0,0,0,6,0,775.4547299999999,483,36,139,62,0
1,DEG_FOU_WOOD,42.57729,-76.28135,338,0,2,0,0,1,0,0,65,136,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55,24,0,0,0,21,0,1,1,155,2,0,0,0,1,0,770.29594,409,25,155,79,0
2,DEG_PER_STRIP,42.67339,-76.22911,192,1,57,0,0,125,0,1,86,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,1,2,0,86,0,4,1,147,1,0,0,0,0,0,771.4442799999999,463,92,147,42,0
3,DEG_VIL,42.68901,-76.16868,446,0,19,4,0,2,0,1,12,17,0,0,0,0,0,0,0,0,0,0,1,0,0,18,43,46,15,0,0,50,0,4,7,104,17,0,0,0,0,0,772.5203300000001,485,78,104,104,18
4,DIP_CUR,42.43290495,-76.2440504,311,0,6,0,0,0,0,0,95,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,20,3,0,0,86,7,15,0,124,1,2,0,31,0,0,766.18885455,444,111,124,72,0
5,DIP_FLE,42.60098098,-76.51318513,373,0,2,0,0,0,0,1,81,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,20,6,0,0,123,0,10,2,136,21,1,0,0,0,0,773.08779585,457,157,136,45,0
6,DIP_PAT,42.90355407,-76.66418685,313,0,19,0,0,72,1,0,38,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,243,2,2,0,44,25,0,0,0,0,0,772.2393672200001,443,274,44,4,0
7,GAB_ALL,42.92364,-73.68089,4,0,0,0,0,0,0,0,3,9,0,0,0,0,0,1,1,0,0,0,0,0,0,9,58,82,31,9,0,162,10,107,1,118,203,4,0,0,0,0,781.24275,8,487,118,180,9
8,GAB_HEN,43.00549,-73.56116,266,0,134,0,0,0,0,0,186,9,0,0,0,3,0,4,1,0,0,0,0,0,0,0,4,24,23,14,4,28,2,38,1,63,5,0,0,0,0,0,778.44433,593,78,63,69,0
9,GAB_STE,43.07217,-73.5235,20,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,426,250,58,0,42,3,1,0,0,0,0,784.54867,29,738,42,0,0
10,HUN_PLE_9,44.2865002,-75.8554739,25,0,4,0,0,6,0,0,4,408,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,7,0,0,0,365,5,1,0,0,0,0,799.4310263,39,13,365,4,0
11,KAT_HAB_3,42.503889,-78.913889,254,0,175,0,0,0,0,0,8,101,0,2,0,0,1,0,1,0,0,21,0,0,0,0,51,17,0,1,0,35,0,18,0,116,4,0,0,0,0,0,768.59,461,57,116,69,0
12,KAT_HAB_4,42.547222,-78.870556,317,0,12,0,0,2,0,0,6,154,0,6,0,0,0,0,0,0,0,4,0,0,0,0,29,9,6,2,0,60,28,48,0,120,2,0,0,0,0,0,768.6766660000001,347,138,120,46,0
13,KAT_JEF,42.243611,-79.070556,65,0,0,0,0,1,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,2,3,0,171,65,135,0,162,5,1,0,0,0,0,762.173055,66,377,162,39,0
14,KAT_JEF_2,42.271111,-79.087778,83,0,9,0,0,0,0,0,15,149,0,2,0,0,1,0,0,0,0,0,1,0,0,1,33,18,3,2,0,92,3,28,0,174,115,74,0,0,0,0,766.183333,111,312,174,56,1
15,KAT_MAH,42.409722,-77.711667,630,0,7,0,0,6,0,1,16,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,17,7,0,3,2,0,1,0,62,0,0,0,0,0,0,768.698055,661,6,62,58,0
