Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_24,VALUE_26,VALUE_27,VALUE_29,VALUE_36,VALUE_37,VALUE_43,VALUE_44,VALUE_46,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_242,VALUE_250
J1,,,,,,"-1","0","-1",,,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","19","204","3","0","497","0","693","0"
J2,,,,,,"-1","0","-1",,,"3","2","30","0","0","2","0","0","0","1","0","0","0","95","46","56","12","0","18","23","265","20","1","7","621","12","252","1"
J3,,,,,,"-1","0","-1",,,"4","1","2","0","0","0","0","0","0","0","0","0","0","1","15","50","12","1","5","17","305","146","3","5","725","0","172","0"
J4,,,,,,"-1","0","-1",,,"2","0","4","0","0","2","0","0","0","0","1","0","0","1","27","37","14","0","7","56","149","47","4","16","975","16","117","1"
J5,,,,,,"-1","0","-1",,,"13","0","14","0","4","0","0","0","2","12","0","0","0","3","72","59","38","0","11","69","94","166","21","10","653","4","211","2"
J6,,,,,,"-1","0","-1",,,"49","2","110","0","4","4","3","4","0","3","0","147","0","2","0","0","0","0","54","60","19","38","37","37","507","8","376","0"
J7,,,,,,"-1","0","-1",,,"17","4","28","0","0","2","0","3","0","0","0","8","3","0","11","22","30","0","110","68","132","48","24","22","708","0","221","0"
J8,,,,,,"-1","0","-1",,,"0","0","21","0","0","0","0","0","0","2","0","0","0","110","21","8","5","0","1","41","6","9","10","8","917","29","290","0"
J9,,,,,,"-1","0","-1",,,"0","0","26","2","0","0","2","0","0","0","0","0","0","1","48","37","13","0","4","169","120","192","17","10","552","3","266","8"
J10,,,,,,"-1","0","-1",,,"2","0","11","5","0","0","2","0","0","3","0","0","0","4","16","58","9","0","18","41","534","33","24","37","174","3","494","3"
