Card ID,Data_Collector,Field ID,Date Placed,Date Collected,Tillage,Planting,Fertilizer,Insecticide,Herbicide,Comments,Manure,Manure Type,Application date,Application rate,Cover crop termination date,Cover crop termination method,Tillage date for main field,Tillage dates for the no-cover,Tillage practice,Planting date,Crop Type,Seed Variety,Seed Treatment,Risk Assessment,Overwintering,Pruning,Harvest,Snow/Frost,Time From Corn Harvest,Time From Manure Application
6989,Shea Crowther,FLE_FIE_IN,10/10/2023,10/17/2023,,,,,,,Yes,Cow,10/16/2023,,,,,,,,,,,N,Y,No,No,No,2,0
6990,Shea Crowther,FLE_FOR_OUT,10/10/2023,10/17/2023,,,,,,,Yes,Cow,10/16/2023,,,,,,,,,,,N,Y,No,No,No,2,0
6991,Shea Crowther,FLE_FOR_IN,10/10/2023,10/17/2023,,,,,,,Yes,Cow,10/16/2023,,,,,,,,,,,N,Y,No,No,No,2,0
6987,Shea Crowther,DIP_FLE,10/10/2023,10/17/2023,,,,,,,Yes,Cow,10/16/2024,,,,,,,,,,,Y,Y,No,No,No,2,0
6988,Shea Crowther,DIP_FLE,10/10/2023,10/17/2023,,,,,,,Yes,Cow,10/16/2024,,,,,,,,,,,Y,Y,No,No,No,2,0
7143,Alexa Stratton,IND_ORC_OUT_1,10/25/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,-4,
7144,Alexa Stratton,IND_ORC_IN_1,10/25/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,-4,
7145,Alexa Stratton,IND_ORC_OUT_2,10/25/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,-4,
7146,Alexa Stratton,IND_ORC_IN_2,10/25/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,-4,
7147,Alexa Stratton,EVE_ORC_OUT,10/26/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,4,
7148,Alexa Stratton,EVE_ORC_IN,10/26/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,4,
7149,Alexa Stratton,EVE_FIE_OUT,10/26/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,4,
7150,Alexa Stratton,EVE_FIE_IN,10/26/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,4,
7151,Alexa Stratton,EVE_FOR_OUT,10/26/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,4,
7152,Alexa Stratton,EVE_FOR_IN,10/26/2023,11/2/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,4,
7153,Alexa Stratton,GRS_ORC_OUT,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,5,
7154,Alexa Stratton,GRS_ORC_IN,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,5,
7155,Alexa Stratton,GRS_FIE_OUT,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,5,
7156,Alexa Stratton,GRS_FIE_IN,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,5,
7157,Alexa Stratton,GRN_ORC_OUT,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,2,
7158,Alexa Stratton,GRN_ORC_IN,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,2,
7159,Alexa Stratton,GRN_FIE_OUT,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,2,
7160,Alexa Stratton,GRN_FIE_IN,10/26/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,2,
7161,Alexa Stratton,KIR_ORC_OUT,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,10,
7162,Alexa Stratton,KIR_ORC_IN,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,10,
7163,Alexa Stratton,KIR_FOR_OUT,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,10,
7164,Alexa Stratton,KIR_FOR_IN,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,10,
7165,Alexa Stratton,KIR_FIE_OUT,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,10,
7166,Alexa Stratton,KIR_FIE_IN,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,10,
7167,Alexa Stratton,OLE_FOR_OUT,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,3,
7168,Alexa Stratton,OLE_FOR_IN,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,3,
7169,Alexa Stratton,OLE_FIE_OUT,10/25/2023,11/1/2023,No,No,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,N,Y,3,
